Date,Type,Dead,Injured,Location,Details,Perpetrator,Part of
1,Stabbing,0 (+1),3,"&lt;img alt=""Israel"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Israel.svg/21px-Flag_of_Israel.svg.png"" width=""21"" height=""15"" class=""thumbborder"" data-file-width=""660"" data-file-height=""480""&gt; East Jerusalem, Israel",Three people were injured in a stabbing attack in the Old City of Jerusalem's Muslim Quarter.[1],Palestinian Nationalist,Israeli–Palestinian conflict
1,Bombing,1,15,"&lt;img alt=""Egypt"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/23px-Flag_of_Egypt.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Tanta, Egypt","A booby-trapped motorbike exploded outside a police training center, killing one police officer and injuring 12 others, as well as 3 civilians.[2]",The Hasm Movement (suspected),Insurgency in Egypt
1,Attack,~10,Unknown,"&lt;img alt=""Nigeria"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_Nigeria.svg/23px-Flag_of_Nigeria.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""800"" data-file-height=""400""&gt; Cross River State, Nigeria","Attack by suspected Fulani herdsmen has left not less than 10 people dead and over 3,500 rendered homeless in Obio Usiere, Eniong Abatim, Odukapni local government council of Cross River State.[3]",Fulani herdsmen,Communal conflicts in Nigeria
2,Bombing,1,1,"&lt;img alt=""Pakistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/3/32/Flag_of_Pakistan.svg/23px-Flag_of_Pakistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; South Waziristan Agency, Pakistan",A member of the security forces was killed and another was injured in an explosion in the South Waziristan Agency.[4],Jamaat-ul-Ahrar (suspected),War in North-West Pakistan
2,Grenade attack,1,14,"&lt;img alt=""India"" src=""//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1350"" data-file-height=""900""&gt; Nowhatta, India",A police officer was killed and 11 others were injured in a grenade attack in Nowhatta.[5],Jaish-e-Mohammed,Kashmir conflict
2,Roadside bombing,0,6,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Kirkuk, Iraq","Two improvised explosive devices (IED) injured six Peshmerga troops in west of Tuz Khurmatu, south of Kirkuk.[6]",Islamic State,Iraqi Civil War
3,Attack,0,12,"&lt;img alt=""Thailand"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_Thailand.svg/23px-Flag_of_Thailand.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Yala Province, Thailand","Some 20 to 30 suspected insurgents injured 12 officers while attacking a police checkpoint in the Thai Deep South with grenade launchers and other weapons on Monday, the police chief in Yala province said.[7][7]",Runda Kumpulan Kecil (suspected),South Thailand insurgency
3,Bombing,0,1,"&lt;img alt=""Egypt"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/23px-Flag_of_Egypt.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Arish, Egypt",A police officer was injured when he thwarted a terrorist attack on a security checkpoint in Arish.[8],Islamic State,Insurgency in Egypt
3,Shooting,2 (+4),0,"&lt;img alt=""Russia"" src=""//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Astrakhan, Russia",A Kazakh man killed two policemen in Astrakhan.[9] Four insurgents were also killed by the police hour after the attack occurred.[10],Islamic State,Insurgency in the North Caucasus
3,Suicide bombing,15 (+1),64,"&lt;img alt=""Russia"" src=""//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; St Petersburg, Russia","2017 Saint Petersburg Metro bombing: A suicide bombing occurred on the St Petersburg Metro, on the day Vladimir Putin was due to visit the city. 16 people[11] were killed in the attack, including the suicide bomber. 64 others were also injured. Russian media has reported that he travelled to Syria in 2014 and trained with militants. Imam Shamil Battalion, an Al-Qaeda affiliate, claimed responsibility for the attack.[12][13][14][15][16]",Imam Shamil Battalion,Islamic terrorism in Europe
