Date,Type,Dead,Injured,Location,Details,Perpetrator,Part of
1,Rocket attacks,1,2,"&lt;img alt=""Afghanistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/23px-Flag_of_Afghanistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""600"" data-file-height=""400""&gt; Lashkar Gah, Afghanistan",A person was killed and two others were injured in three rocket attacks.[1],Taliban,War in Afghanistan
1,Executions,5,0,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Hawija, Iraq",The Islamic State executed five civilians in Hawija.[2],Islamic State,Iraqi Civil War
1,Executions,6,0,"&lt;img alt=""Somalia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_Somalia.svg/23px-Flag_of_Somalia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Qandala, Somalia",Three civilians and three soldiers were executed by Islamic State militants.[3],Islamic State,War in Somalia
1,Shooting,7,Unknown,"&lt;img alt=""Somalia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_Somalia.svg/23px-Flag_of_Somalia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Baidoa, Somalia",Seven soldiers were killed by an Al-Shabaab ambush.[4],Al-Shabaab,War in Somalia
1,Landmine,7,5,"&lt;img alt=""India"" src=""//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1350"" data-file-height=""900""&gt; Koraput, India",At least eleven police personnel were killed and five injured in a landmine blast triggered by suspected Maoists in Odisha’s Koraput district on Wednesday.[5],Naxalites (suspected),Naxalite–Maoist insurgency
1,Shooting,2,6,"&lt;img alt=""Somalia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_Somalia.svg/23px-Flag_of_Somalia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Boosaaso, Somalia",Two soldiers were killed and six others were injured.[3],Al-Shabaab,War in Somalia
1,Shooting,3,Unknown,"&lt;img alt=""Kenya"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Kenya.svg/23px-Flag_of_Kenya.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Mandera, Kenya",Two Kenyan police officers and a 15-year-old boy were killed by an Al-Shabaab attack.[3][6],Al-Shabaab,Spillover of the War in Somalia
2,Bombings,1,5,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Baghdad, Iraq",An explosion killed one person and wounded three near a market in southern Baghdad. Another bombing earlier wounded two civilians.[7],Islamic State (suspected),Iraqi Civil War
2,"Arson, Bombing",0,Unknown,"&lt;img alt=""Mexico"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_Mexico.svg/23px-Flag_of_Mexico.svg.png"" width=""23"" height=""13"" class=""thumbborder"" data-file-width=""840"" data-file-height=""480""&gt; Mexico City, Mexico",A cell of insurrectional anarchist group launched an explosive-incendiary attack on a Citibanamex bank.[8],Anarchists,Anarchism in Mexico
2,Bombing,0,0,"&lt;img alt=""Somalia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_Somalia.svg/23px-Flag_of_Somalia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Mogadishu, Somalia",Al Shabaab militants attempted to assassinate Somali Senator Osman Mohamud Dufle by detonating an IED. No casualties were reported.[4],Al-Shabaab,War in Somalia
2,Bombing,6,Unknown,"&lt;img alt=""Yemen"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/8/89/Flag_of_Yemen.svg/23px-Flag_of_Yemen.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""450"" data-file-height=""300""&gt; Abyan, Yemen",Six people were killed by an Al-Qaeda bombing.[3],Al-Qaeda in the Arabian Peninsula,Yemeni Civil War
2,Shooting,5,Unknown,"&lt;img alt=""Cameroon"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Flag_of_Cameroon.svg/23px-Flag_of_Cameroon.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""600"" data-file-height=""400""&gt; Kontcha, Cameroon",A suspected Boko Haram attack along Cameroon's border with Nigeria killed a U.N. independent contractor and four others.[9],Boko Haram (suspected),Boko Haram insurgency
3,Bombing,0,0,"&lt;img alt=""Egypt"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/23px-Flag_of_Egypt.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Rafah, Egypt","Militants blew up a school in the city of Rafah in Egypt's northern Sinai Peninsula, according to a local security source.[10]",Islamic State – Sinai Province,Sinai insurgency
3,Stabbing,0,1 (+1),"&lt;img alt=""France"" src=""//upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/23px-Flag_of_France.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Paris, France","2017 Paris machete attack: An man armed with a knife was shot by a French soldier. The man was stopped while attempting to enter the Louvre and attacked a soldier with a machete. Another soldier shot the attacker, wounding him, and took him into custody.[11]",Lone wolf,Islamic terrorism in Europe
3,Shooting,8,Unknown,"&lt;img alt=""Afghanistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/23px-Flag_of_Afghanistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""600"" data-file-height=""400""&gt; Almar, Afghanistan",A Taliban insurgent killed at least eight police personnel.[12],Taliban,War in Afghanistan
3,Attacks and kidnapping,3+,5,"&lt;img alt=""Philippines"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_the_Philippines.svg/23px-Flag_of_the_Philippines.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""900"" data-file-height=""450""&gt; Various cities, Philippines","The New People's Army carried at least 20 attacks across the country and took at least 5 soldiers as ""prisoners of war.""[13]",New People's Army,CPP–NPA–NDF rebellion
3,Assassination,2,0,"&lt;img alt=""Ukraine"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/23px-Flag_of_Ukraine.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1200"" data-file-height=""800""&gt; Luhansk, Ukraine","The head of the Luhansk People's Republic militia, Colonel Oleg Anashchenko, was killed along with another person while riding on an official car in Luhansk city when the vehicle struck an improvised explosive device.[14]",Ukrainian anarchists,War in Donbass
4,Bombing,3,Unknown,"&lt;img alt=""Somalia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_Somalia.svg/23px-Flag_of_Somalia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Kismayo, Somalia",Three soldiers were killed and several others injured by an Al-Shabaab bombing.[15],Al-Shabaab,War in Somalia
4,Shooting,4,8,"&lt;img alt=""Mali"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Mali.svg/23px-Flag_of_Mali.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""450"" data-file-height=""300""&gt; Ménaka, Mali",Four soldiers were killed and eight others were injured in a terrorist attack.[16],Ansar Dine,Northern Mali conflict
4,Bombing,0,1,"&lt;img alt=""Philippines"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_the_Philippines.svg/23px-Flag_of_the_Philippines.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""900"" data-file-height=""450""&gt; Tuburan, Philippines",At least one person was injured as the Abu Sayyaf group is suspected of setting off a roadside bomb in Basilan province.[17],Abu Sayyaf (suspected),Moro Conflict
