Date,Type,Dead,Injured,Location,Details,Perpetrator,Part of
1,Car bombing,1,5,"&lt;img alt=""Afghanistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/23px-Flag_of_Afghanistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""600"" data-file-height=""400""&gt; Jalalabad, Afghanistan",One person was killed and five others were injured when a car bomb went off outside the airport in Jalalabad.[1],Islamic State,War in Afghanistan
1,Shooting,0,4,"&lt;img alt=""Algeria"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/23px-Flag_of_Algeria.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Larbaa, Algeria",Four policemen were injured in an attack in Larbaa.[2],Islamic State,Insurgency in the Maghreb
1,Bombing,2,2,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Hīt, Iraq","Four civilians were killed and injured in two separate IED blasts in Hit city, in Anbar province.[3]",Islamic State,Iraqi Civil War
1,Shooting,6,0,"&lt;img alt=""Niger"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Flag_of_Niger.svg/18px-Flag_of_Niger.svg.png"" width=""18"" height=""15"" class=""thumbborder"" data-file-width=""700"" data-file-height=""600""&gt; Tillabéri, Niger",Four national guards and two military police were killed in an ambush.[4],Al-Qaeda in the Islamic Maghreb (suspected),Insurgency in the Maghreb
1,"Bombing, Shooting",16 (+1),10,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Diyala, Iraq","Sixteen Iraqis were killed and wounded in Diyala in separate attacks and bombings in the province, according to security sources.[5]",Islamic State,Iraqi Civil War
1,Shooting,0,4,"&lt;img alt=""Mali"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Mali.svg/23px-Flag_of_Mali.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""450"" data-file-height=""300""&gt; Timbuktu, Mali","Four French soldiers were wounded, one seriously, when a United Nations camp in Mali's northern city of Timbuktu was attacked. The soldiers were cooperating with the UN peacekeeping mission MINUSMA.[6]",Jama'at Nasr al-Islam wal Muslimin,Insurgency in the Maghreb
1,Bombing,4,0,"&lt;img alt=""Egypt"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/23px-Flag_of_Egypt.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Bawiti, Egypt",Three soldiers and one Egyptian army officer were killed in a bomb blast near El-Bawiti in Egypt’s Western Desert.[7],Islamic State,Insurgency in Egypt
1,Car bombing,2,0,"&lt;img alt=""Saudi Arabia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Flag_of_Saudi_Arabia.svg/23px-Flag_of_Saudi_Arabia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""750"" data-file-height=""500""&gt; Al-Qatif, Saudi Arabia","Two people were killed in a car explosion in Al-Qatif, Saudi Arabia just before Maghrib prayers. Three men involved in the attack managed to escape and are currently being hunted by security officers in the area.[8]",Hezbollah Al-Hejaz (suspected),Terrorism in Saudi Arabia
2,Suicide bombing,11 (+2),30,"&lt;img alt=""Cameroon"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Flag_of_Cameroon.svg/23px-Flag_of_Cameroon.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""600"" data-file-height=""400""&gt; Kolofata, Cameroon",11 people were killed after two girl suicide bombers attacked a camp for people fleeing Boko Haram extremist violence in the region.[9],Boko Haram,Boko Haram insurgency
2–3,"Kidnapping, Execution",1,1,"&lt;img alt=""Tunisia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Tunisia.svg/23px-Flag_of_Tunisia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1200"" data-file-height=""800""&gt; Kasserine Governorate, Tunisia","A unit of the National Army discovered the body of the shepherd Khelifa Soltani on Saturday afternoon, on Mount Mghila. He had been kidnapped on Friday by a group of terrorists with another shepherd who hasn´t been found yet.[10]",Islamic State,ISIL insurgency in Tunisia
