Date,Type,Dead,Injured,Location,Details,Perpetrator,Part of
1,Shooting,39,70,"&lt;img alt=""Turkey"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Turkey.svg/23px-Flag_of_Turkey.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1200"" data-file-height=""800""&gt; Istanbul, Turkey",2017 Istanbul nightclub shooting: One gunman killed 39 individuals in the Reina Nightclub located in Istanbul during 2016–2017 New Year eve celebrations.[1][2],Islamic State,Turkey–ISIL conflict
1,Bombing,0,6,"&lt;img alt=""Afghanistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/23px-Flag_of_Afghanistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""600"" data-file-height=""400""&gt; Herat, Afghanistan",At least six people were hurt in an explosion near a mosque in western Afghanistan.[3],Taliban,War in Afghanistan
1,Shooting,1,0,"&lt;img alt=""Burundi"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/5/50/Flag_of_Burundi.svg/23px-Flag_of_Burundi.svg.png"" width=""23"" height=""14"" class=""thumbborder"" data-file-width=""500"" data-file-height=""300""&gt; Bujumbura, Burundi",The Burundian environmental minister Emmanuel Niyonkuru was shot dead in the capital city of Bujumbura. A police spokesman said a woman was arrested in connection with the attack.[4],Lone wolf,Burundian unrest
1,Bombing,0,6,"&lt;img alt=""Pakistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/3/32/Flag_of_Pakistan.svg/23px-Flag_of_Pakistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Quetta, Pakistan",Four Frontier Corps security personnel and two civilians were injured in a roadside bomb blast in Quetta.[5],Lashkar-e-Jhangvi (suspected),Sectarianism in Pakistan
1,Bombing,1,7,"&lt;img alt=""Algeria"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/23px-Flag_of_Algeria.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Blida, Algeria",A bomb killed a child and injured 7 others.[6],Al-Qaeda in the Islamic Maghreb (suspected),Insurgency in the Maghreb
1,Assassination,1,0,"&lt;img alt=""Jordan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Flag_of_Jordan.svg/23px-Flag_of_Jordan.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""840"" data-file-height=""420""&gt; Ma'an, Jordan",The Islamic State claimed responsibility for a shooting attack it said killed a Jordanian soldier.[7],Islamic State,Spillover of the Syrian Civil War
2,Suicide car bombings,56 (+3),122,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Baghdad, Iraq",January 2017 Baghdad bombings: A series of car bombings in Sadr City and other parts of Baghdad killed at least 56 people and injured more than 120 others.[8],Islamic State,Iraqi Civil War
2,Suicide car bombing,7 (+1),17,"&lt;img alt=""Somalia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_Somalia.svg/23px-Flag_of_Somalia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Mogadishu, Somalia",January 2017 Mogadishu bombings: A suicide car bombing killed 7 people and injured 17 others at a checkpoint near Aden Adde International Airport in the Somali capital.[9],Al-Shabaab,Somali Civil War
2,Shooting,1,1,"&lt;img alt=""Burkina Faso"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Burkina_Faso.svg/23px-Flag_of_Burkina_Faso.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Djibo, Burkina Faso",One person was killed and another was injured in two separate shooting attacks.[10],Al-Qaeda in the Islamic Maghreb (suspected),Insurgency in the Maghreb
2,Suicide bombings,7 (+3),Unknown,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Samarra, Iraq","Gunmen wearing suicide vests attacked two police stations in the central Iraqi city of Samarra, killing at least 7 officers.[11]",Islamic State,Iraqi Civil War
