Date,Type,Dead,Injured,Location,Details,Perpetrator,Part of
1,Suicide bombings,22 (+2),100,"&lt;img alt=""Afghanistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/23px-Flag_of_Afghanistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""600"" data-file-height=""400""&gt; Kabul, Afghanistan",At least 22 people were killed and 100 wounded in two bombs attacks on a police station and intelligence agency offices.[1],Taliban,War in Afghanistan
1,Chemical attack,0,7,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Mosul, Iraq",Seven civilians were wounded due to Islamic State chemical attack on western Mosul.[2][3],Islamic State,Iraqi Civil War
1,Shooting,4,2,"&lt;img alt=""Thailand"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_Thailand.svg/23px-Flag_of_Thailand.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Rueso District, Thailand","Insurgents shot and killed four people, including a child, and wounded another two children on Thursday, police said, days after a deal was reached with the Thai government to establish a safety zone.[4]",Islamists,South Thailand Insurgency
2,Bombing,0,8,"&lt;img alt=""India"" src=""//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1350"" data-file-height=""900""&gt; Manipur, India",Eight people were injured in an IED explosion near the residence of a Naga People's Front leader at Langol Laimanai village in Imphal West district.[5],Jaish-e-Mohammed,Insurgency in Northeast India
2,Attack,4,Unknown,"&lt;img alt=""Nigeria"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_Nigeria.svg/23px-Flag_of_Nigeria.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""800"" data-file-height=""400""&gt; Benue, Nigeria","Armed men suspected to be Fulani herdsmen have reportedly attacked Gbemacha council ward in Gwer Local Government Area of Benue state, at least four people die in the attack.[6]",Fulani herdsmen,Communal conflicts in Nigeria
3,Shooting,2,1+,"&lt;img alt=""Burkina Faso"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Burkina_Faso.svg/23px-Flag_of_Burkina_Faso.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Soum, Burkina Faso",Ansar ul Islam militants on motorbikes killed two people including a school director.[7],Ansar ul Islam,Insurgency in the Maghreb
4,Bombing,4,Unknown,"&lt;img alt=""Somalia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_Somalia.svg/23px-Flag_of_Somalia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Lanta Buro, Somalia","A bomb set by Al-Shabaab militants killed four AMISOM soldiers near Lanta Buro, about 40 kilometers from the capital Mogadishu.[8]",Al-Shabaab,War in Somalia
4,Bombing,0,2,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Baghdad, Iraq","An improvised explosive device exploded, at noon, near a popular market in al-Shaab area, north of Baghdad, wounding two civilians.[9]",Islamic State,Iraqi Civil War
5,Shooting,11,4,"&lt;img alt=""Mali"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Mali.svg/23px-Flag_of_Mali.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""450"" data-file-height=""300""&gt; Boulikessi, Mali",Eleven soldiers were killed and four others were injured in an attack on a position of the Malian Army close to the border with Burkina Faso.[10],Jama'at Nasr al-Islam wal Muslimin,Insurgency in the Maghreb
5,Shooting,6,1,"&lt;img alt=""Afghanistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/23px-Flag_of_Afghanistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""600"" data-file-height=""400""&gt; Kunduz, Afghanistan",At least six security forces have lost their lives and one was injured in an attack by armed Taliban on a police checkpoint.[11],Taliban,War in Afghanistan
5,Grenade attack,0,1+,"&lt;img alt=""Colombia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Colombia.svg/23px-Flag_of_Colombia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""450"" data-file-height=""300""&gt; Boyaca, Colombia","At least one person was injured by a shell of grenade, inform the army.[12]",ELN,Colombian Conflict
5,"Shooting, Clash",Unknown,Unknown,"&lt;img alt=""Colombia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Colombia.svg/23px-Flag_of_Colombia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""450"" data-file-height=""300""&gt; Chocó, Colombia","A total of 304 people in the department of Chocó, northwest Colombia, were displaced by fighting between the ELN and the Autodefensas Gaitanistas, a criminal gang of paramilitary origin, the People's Ombudsman said Sunday.[13]",ELN and Autodefensas Gaitanistas,Colombian Conflict
5,Bombing,0,4,"&lt;img alt=""India"" src=""//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1350"" data-file-height=""900""&gt; Sopore, India",Four children were injured in an explosion in Sopore town of north Kashmir's Baramulla district.[14],Jaish-e-Mohammed,Kashmir conflict
5,Shooting,6,1+,"&lt;img alt=""Yemen"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/8/89/Flag_of_Yemen.svg/23px-Flag_of_Yemen.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""450"" data-file-height=""300""&gt; Zinjibar, Yemen","Five soldiers and a civilian were killed in an al-Qaeda attack in Zinjibar, Yemen.[15]",Al-Qaeda in the Arabian Peninsula,Yemeni Civil War
5,Shooting,5 (+10),Unknown,"&lt;img alt=""Pakistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/3/32/Flag_of_Pakistan.svg/23px-Flag_of_Pakistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Mohmand Agency, Pakistan",Five soldiers were killed by Jamaat-ul-Ahrar militants. 10 terrorists were also killed.[16],Jamaat-ul-Ahrar,Operation Ghazi
6,Roadside Bombing,4,3,"&lt;img alt=""Syria"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/5/53/Flag_of_Syria.svg/23px-Flag_of_Syria.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Palmyra, Syria","Russian Major General Pyotr Milyukhin lost both his legs and an eye when a radio controlled bomb hit a military convoy heading from the Tiyas airfield, west of Palmyra, to the Syrian city of Homs, it has been confirmed. Along with him, four other Russian soldiers lost their lives with a further two being injured.[17]",Islamic State,Syrian Civil War
6,Shooting,5,0,"&lt;img alt=""Niger"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Flag_of_Niger.svg/18px-Flag_of_Niger.svg.png"" width=""18"" height=""15"" class=""thumbborder"" data-file-width=""700"" data-file-height=""600""&gt; Wanzarbe, Niger",At least five Nigerian gendarmes were killed in the night during a likely terrorist attack in the Tillabéri Region.[18],Al-Qaeda in the Islamic Maghreb,Insurgency in the Maghreb
6,Chemical attack,4,25,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Mosul, Iraq",4 civilians were killed and 25 others were injured due to Islamic State chemical attack on western Mosul.[19],Islamic State,Iraqi Civil War
6,Executions,8,0,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Kirkuk, Iraq",Islamic State executed eight civilians in Kirkuk.[20],Islamic State,Iraqi Civil War
6,"Suicide car bombing, suicide bombing",15 (+2),Unknown,"&lt;img alt=""Syria"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/5/53/Flag_of_Syria.svg/23px-Flag_of_Syria.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Aleppo, Syria",Two suicide bombings killed fifteen people around Aleppo.[21],Islamic State,Syrian Civil War
7,Bombing,0,10,"&lt;img alt=""India"" src=""//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1350"" data-file-height=""900""&gt; Madhya Pradesh, India","2017 Bhopal–Ujjain Passenger train bombing: In first ISIS attack on India, terrorists known to authorities planted low intensity pipe bombs which exploded on a train at the Jabri railway station injuring 10 passengers.",Islamic State,Terrorism in India
8,"Suicide bombing, shootings",100+,63+,"&lt;img alt=""Afghanistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/23px-Flag_of_Afghanistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""600"" data-file-height=""400""&gt; Kabul, Afghanistan","March 2017 Kabul attack: A team of gunmen staged a complex assault on a military hospital in the Wazir Akbar Khan section of Kabul. At least 43+ people were initially reported killed, while 63 others were injured. Local reports later suggested the death toll was over 100.[22][23][24]",Islamic State,War in Afghanistan
8,Shooting,1 (+2),0,"&lt;img alt=""India"" src=""//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1350"" data-file-height=""900""&gt; Pulwama, India",Two militants and a 15-year-old civilian have been killed on Thursday in an encounter between security forces and militants in Padgampora of Pulwama district in Jammu and Kashmir.[25],Lashkar-e-Taiba,Kashmir Conflict
8,Shooting,4,1,"&lt;img alt=""Philippines"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_the_Philippines.svg/23px-Flag_of_the_Philippines.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""900"" data-file-height=""450""&gt; Davao del Sur, Philippines",Five Davao policemen were on their way to respond to a shooting incident in Barangay Sinabyan when suspected members of the New People’s Army ambushed them. In the ambush four policemen were shot dead and one were injured.[26][27],New People’s Army,CPP-NPA-NDF rebellion
8,Shooting,1 (+1),0,"&lt;img alt=""Saudi Arabia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Flag_of_Saudi_Arabia.svg/23px-Flag_of_Saudi_Arabia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""750"" data-file-height=""500""&gt; Riyadh, Saudi Arabia",A police officer was killed by an Islamic State member. Then the perpetrator was killed by the police.[28],Islamic State,Terrorism in Saudi Arabia
9,Suicide bombings,30 (+2),26,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Tikrit, Iraq","30 civilians were killed and 26 others were injured by two suicide bombers at a wedding in Tikrit, Iraq.[29]",Islamic State,Iraqi Civil War
9,Roadside Bombing,1,2,"&lt;img alt=""Egypt"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/23px-Flag_of_Egypt.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Arish, Egypt","A senior police officer was killed and the injury of another police officer and a conscript late Wednesday in the Sinai Peninsula, according to a statement issued by the Interior Ministry.",Islamic State,Sinai Insurgency
10,Roadside Bomb,2,4,"&lt;img alt=""Egypt"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/23px-Flag_of_Egypt.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Arish, Egypt","Two police officers were killed and another four injured by a roadside bomb in Egypt’s Sinai Peninsula, according to a statement released by the Interior Ministry.[30]",Islamic State,Sinai Insurgency
11,Shooting,8 (+1),1+,"&lt;img alt=""Afghanistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/23px-Flag_of_Afghanistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""600"" data-file-height=""400""&gt; Zabul Province, Afghanistan",Eight members of the security forces have been killed by gunmen in southern Zabul province.[31],Taliban,War in Afghanistan
11,"Car bombing, suicide bombing",74 (+1),120+,"&lt;img alt=""Syria"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/5/53/Flag_of_Syria.svg/23px-Flag_of_Syria.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Damascus, Syria","March 2017 Damascus bombings: Twin bombings in the Old City of Damascus killed at least 74 and injured more than 100 others, most of them Iraqi Shia pilgrims.[32][33]",Tahrir al-Sham,Syrian Civil War
11,Ambush,12,3,"&lt;img alt=""India"" src=""//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1350"" data-file-height=""900""&gt; Chhattisgarh, India","Suspected Maoist rebels ambushed a police patrol, killing at least 11 paramilitary commandos and seizing weapons and supplies. At least three officers were critically injured in the attack, which took place in the Sukma district, the site of a deadly 2013 attack.[34][35]",Communist Party of India (Maoist) (suspected),Naxalite–Maoist insurgency
11,Assassination,1,0,"&lt;img alt=""Ivory Coast"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg/23px-Flag_of_C%C3%B4te_d%27Ivoire.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""450"" data-file-height=""300""&gt; Man, Ivory Coast",The muezzin of a mosque was found butchered by a suspected jihadist.[36],Jama'at Nasr al-Islam wal Muslimin (suspected),Insurgency in the Maghreb
